node,betweeness_centrality,degree,closeness_centrality,page_rank,class1_ecentrality,class0_ecentrality,community
0x28c6c06298d514db089934071355e5743bf21d60,0.494010213,0.370160529,0.330308008,0.118861486,0.669654742,,1
0x7f268357a8c2552623316e2562d90e642bb538e5,0.323956896,0.101038716,0.316817951,0.03048726,0.000709976,0.553669353,0
0xdac17f958d2ee523a2206206994597c13d831ec7,0.173128355,0.094428706,0.318732259,0.02450894,0.198603275,0.031272222,1
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.162151276,0.036827195,0.329379887,0.010152284,0.005394584,0.227218243,0
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.125816146,0.046270066,0.313802432,0.011510114,0.080423932,0.0438889,1
0x6e785f2fdbdc899f8f08cc1517f82a585b44f9c5,0.075636446,0.025495751,0.326020945,0.008857007,0.009595853,0.133520629,0
0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0.07344398,0.028328612,,0.007903223,,0.17412939,0
0x00000000006c3852cbef3e08e8df289169ede581,0.060313505,0.029272899,,0.008142463,,0.208338034,0
0xa4ff6ffa9dbdbc647b4e150e9c1017853a9ed139,0.051957099,0.029272899,0.301257503,0.010076459,0.000607207,0.102362936,0
0x411c104dcec01380ee86ea2d090ed3450850f1d6,0.040814322,,0.331970981,,0.036815826,0.018890909,1
0x523a830a21bd6757012ac901464dac947370e923,0.040491877,,0.318924963,,0.042212001,0.018890909,1
0x67cc642f32d724724765dbc40472a3d520b9e02a,0.038113468,0.024551464,,0.007923022,0.003885818,0.054226207,0
0xe2a5e365a0e7d7994698bc537f66e051e4d01aa0,0.036463954,,0.315869394,,0.032616149,0.018890909,1
0x71147d6dba3f764fda1ea811d509444b09cc1e7b,0.036315118,0.01605288,0.297184163,0.004414412,0.01426434,0.057739914,0
0x705870fb4ffce9eae50eacb850fa3476e079882b,0.031092336,0.012275732,0.304914386,0.003859424,0.004967335,0.070468229,0
0x27ffec1d8cfd05d69e3f48dc39e9b2dd60ac724a,0.031020789,0.019830028,0.299716982,0.006730598,,0.125575144,0
0xbb5fe4bc0d28cb53b225cdb80284600dbc0562bc,0.030650564,0.007554297,0.313989219,0.002367512,0.009595853,0.077950556,0
0xcfab3b119fc3cd465bf7b49e5581933e7b83e36e,0.028901068,,0.309385272,,0.014646697,0.046032016,1
0x02535a353d2285fb8ee620db50472d3b08fff560,0.028431719,0.016997167,,0.005908015,0.003885818,0.043436548,0
0x9de68b20858e261b609b7147d039f61cef1afc18,0.028050304,0.013220019,0.310112809,0.003680801,0.004140259,0.094465809,0
0xdbcfd333629f6b02f150d36e087d48b67bdf43de,0.0264095,0.016997167,0.297016829,0.005660882,,0.102761733,0
0x307432decf73e4f9f9074ffa8dc04b14a6f73410,0.025387545,0.017941454,0.299122137,0.005508986,0.000114447,0.10838778,0
0xe50a5145483c22242be79bb231963b21cfd94041,0.024798499,0.01605288,,0.005837899,,0.076574268,0
0x20c467db9b9fe0fa39d879b3f23c475582da2fba,0.023303971,0.017941454,,0.005647964,,0.084035685,0
0xebfe1ab93d1122e065adcafd8c3174261e8e726f,0.022773357,0.015108593,,0.005481584,,0.03127777,0
0x1fb5005c9e3044934d52e788ef4723bc4a18f25c,0.022634584,0.013220019,,0.005468263,,0.016726709,0
0xdd67874a763498a3d040167ebeab9743f5493090,0.022212911,,0.295353801,,0.009595853,0.04999157,0
0xd9ba4db1bb833578f9304d31e2e834bbf10800f5,0.021892909,0.013220019,0.293382585,0.004973035,,0.089012782,0
0xd533a949740bb3306d119cc777fa900ba034cd52,0.021758659,0.007554297,0.290314743,0.00197861,0.012567233,0.008511188,1
0xb96094e7338606a27fe8e13dcafb0a45b15b4691,0.021693096,0.015108593,,0.004558089,0.003885818,0.045856762,0
0x5bdeb0ce4fa09a04210fa8f6bdfb14ebb6cf9666,0.021436162,0.014164306,,0.005113816,,0.045910077,0
0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0.019300953,0.016997167,,0.004147631,0.027592697,0.014933167,1
0x865ecf603463bdd19b9bc11996318b5aa1c6dacf,0.019037928,,0.30074224,,0.009595853,0.056904206,0
0x72636fa84883a0dbe1cbcc4ab000a4c40d7520c0,0.017701503,0.013220019,,0.004402891,,0.047545261,0
0x00000000000001ad428e4906ae43d8f9852d0dd6,0.017539816,0.016997167,,0.004722376,,0.126353539,0
0x6f1a21fbb911c988f24d14f799843b64aac246c2,0.016861767,0.014164306,,0.00449088,,0.060650268,0
0x6982508145454ce325ddbe47a25d4ec3d2311933,0.016754373,0.008498584,0.293219504,0.002368164,0.007248636,0.03077766,0
0x881d40237659c251811cec9c364ef91dc08d300c,0.015583182,0.016997167,,0.004624185,,0.099497605,0
0x776b818b0464d499458a7129b758e93146ad15c4,0.015103517,0.012275732,0.289518051,0.003121502,0.004668487,0.083697133,0
0x6767526a362ec6c6b1df185478e4f01506b73ff3,0.014088574,0.016997167,,0.004273997,0.040546726,,1
0xa822baa87a6965f901c4e1ec8fc5c4f2f0a2f4fe,0.014031054,0.015108593,,0.004473982,,0.05592409,0
0xe6effe1e71070435afeaf960c9baf471d0bb1d0a,0.013805013,0.008498584,0.300656534,0.002057489,0.048906865,,1
0x163f53a92d6f8da7f8e6ea371382cfaa6231d437,0.013235305,0.011331445,,0.003436675,,0.091374448,0
0xc7303233fc02e49b72a39ee165a95488736dd3a9,0.013209584,,0.294036727,,0.003885818,0.059180473,0
0xba53c502c92328ec40c36475042b59aba9c4ca03,0.013157542,0.007554297,,0.003330357,,0.048372771,0
0x8efaab510df625bb9b6398d5fbb4416a22608363,0.013016673,0.010387158,0.298023666,0.003171612,,0.104981921,0
0x9b2cc63523f46ee5c4a5caa352695c6f0efe795f,0.012736169,0.010387158,,0.003422996,,0.043663558,0
0xd0123759411a09f1f023089e2f79f7abcce2c645,0.01243679,0.010387158,0.294036727,0.003205113,,0.102218146,0
0x762263796e5370f8e7753f7ba42928741ea03fcc,0.011932367,0.008498584,0.296016772,0.002638835,0.000313859,0.083614768,0
0xcfa3e97f04d9b7ecdab669d5ebffc897a3faff18,0.011537143,0.009442871,,0.002955222,0.043991333,,1
0x5f0247564dd6ecfdf4663abf5fdf00379a9861c5,0.011487677,0.008498584,0.288725719,0.002770731,,0.0688564,0
0x44e94034afce2dd3cd5eb62528f239686fc8f162,0.011285319,0.009442871,,0.002776837,,0.058428145,0
0x349e51662f23c372ed581a87d35ec602beed0a67,0.011159175,0.008498584,,0.00298852,,0.067979628,0
0x5c0796ed4f0b1de9f9eda9fd6fe29562b2a60296,0.010957418,0.006610009,,0.002410262,0.003885818,0.018774972,0
0x7f35370c2b52ccad494b9596bc5c5e66b9f48f99,0.010700862,0.009442871,0.299887373,0.002392924,0.049913571,,1
0x3aa13f0b6991f0a6fbfd874fffe380b72e839b24,0.010420831,0.009442871,,0.00306965,,0.042672182,0
0x7387993f82e786e8ea6a2c99dd5af3355d372b69,0.010137295,0.007554297,,0.002639455,,0.053999021,0
0xf617c1865fa51c4094624a2b224ca5751f600527,0.009937508,0.007554297,0.297519396,0.002398594,,0.099471776,0
0x41d6f82de64abbfe963a1483e6ae6e0b82f6e4e0,0.009721804,0.010387158,,0.003046201,,0.05374941,0
0x99fa2023341dbaf932e7d9979337c7cac7e2e028,0.009617163,0.006610009,,0.00257579,,0.049505048,0
0x21d197b28bda2aca2433ca400bfa04f7adcd569b,0.009593482,0.006610009,,0.002485445,,0.05624842,0
0x897e648bc35038b1808937990f973c622780c3f4,0.009559487,0.009442871,,0.002922651,,0.08720722,0
0xce0918dfb9e19d6557aa18e63dda8d6810746381,0.00940717,,,0.002474307,,0.04768004,0
0x3440580aef118159a7d55231f2b08fc9accfe8a3,0.00940717,,,0.002474307,,0.04768004,0
0xfa5d4a1d48fe98feacc7273db23bab2444dd163d,0.009150239,0.007554297,0.293872918,0.002389929,,0.093090433,0
0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,0.009098182,0.009442871,,0.002174231,0.016635776,0.008505075,1
0xb3d9782ef15de4ad8577ad67a8f00595332723e6,0.009022633,0.006610009,,,0.001333188,0.059966564,0
0xf9e50ee9f9947c5054385e26b469257beb9a091a,0.008976249,0.007554297,0.293545848,0.002397113,,0.095386739,0
0xd0624a5804da7a85a4185730a41c52db21ccc60c,0.008844121,0.007554297,,0.002404297,,0.076120414,0
0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0.008802477,0.011331445,,0.002730207,0.022383922,0.005859234,1
0x3c8f3d3311f37d29b63f3f857ca241da55ad8f32,0.008787572,0.006610009,,0.001963061,0.000803786,0.054136049,0
0x2beb1fcaf4bc463b9c165a8fb4f976c22309d9aa,0.008667881,0.007554297,0.297016829,0.002046535,0.048546636,,1
0x1bb9192107345e2c449b7605f1342f020786afe6,0.00863871,0.009442871,0.299887373,0.002172537,0.051492275,,1
0x5b8b5dbdf97fc9bddf269e862ddceeca942d2c91,0.008596495,0.009442871,0.299887373,0.002221753,0.051780205,,1
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.008451103,0.009442871,,0.002702732,,0.06295691,0
0x231316d003ff8d2e2aab000eb03c034e727a17a3,0.008416309,0.012275732,,0.002862316,0.040247997,,1
0x2ef60b8fb7c5ce4e4d545c7b76b7c14d9d3d28ca,0.00835983,0.008498584,,0.002628647,,0.067814805,0
0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,0.008345375,0.012275732,0.288725719,0.002807015,0.039470574,,1
0x591d8b486e6cdc10a3ee192df11c85ce145f4fb6,0.008336578,,0.292731348,,0.001333188,0.064086866,0
0x05535411d8d2f25567f444b0fb918beea9160d5c,0.007903659,0.006610009,,0.0023462,,0.050600261,0
